m_phi,θ_squared,N_phi
0.0294258,0.000365887,0.00989139
0.0294258,0.00035261,0.00953247
0.0294258,0.000339815,0.00918657
0.0294258,0.000327485,0.00885322
0.0294258,0.000315602,0.00853197
0.0294258,0.00030415,0.00822238
0.0294258,0.000293113,0.00792402
0.0294258,0.000282477,0.00763648
0.0294258,0.000272227,0.00735938
0.0294258,0.000262349,0.00709234
0.0294258,0.000252829,0.00683498
0.0294258,0.000243655,0.00658697
0.0294258,0.000234814,0.00634795
0.0294258,0.000226293,0.00611761
0.0294258,0.000218082,0.00589562
0.0294258,0.000210168,0.00568169
0.0294258,0.000202542,0.00547552
0.0294258,0.000195193,0.00527684
0.0294258,0.00018811,0.00508536
0.0294258,0.000181284,0.00490083
0.0294258,0.000174706,0.004723
0.0294258,0.000168366,0.00455162
0.0294258,0.000162257,0.00438646
0.0294258,0.000156369,0.00422729
0.0294258,0.000150695,0.00407389
0.0294258,0.000145227,0.00392607
0.0294258,0.000139957,0.0037836
0.0294258,0.000134879,0.00364631
0.0294258,0.000129984,0.003514
0.0294258,0.000125268,0.00338649
0.0294258,0.000120722,0.00326361
0.0294258,0.000116342,0.00314518
0.0294258,0.00011212,0.00303106
0.0294258,0.000108052,0.00292107
0.0294258,0.000104131,0.00281507
0.0294258,0.000100352,0.00271293
0.0294258,9.67109e-05,0.00261448
0.0294258,9.32017e-05,0.00251961
0.0294258,8.98197e-05,0.00242819
0.0294258,8.65605e-05,0.00234008
0.0294258,8.34195e-05,0.00225516
0.0294258,8.03925e-05,0.00217333
0.0294258,7.74754e-05,0.00209447
0.0294258,7.46641e-05,0.00201847
0.0294258,7.19548e-05,0.00194523
0.0294258,6.93438e-05,0.00187464
0.0294258,6.68276e-05,0.00180662
0.0294258,6.44027e-05,0.00174106
0.0294258,6.20657e-05,0.00167788
0.0294258,5.98136e-05,0.001617
0.0294258,5.76432e-05,0.00155833
0.0294258,5.55515e-05,0.00150178
0.0294258,5.35357e-05,0.00144729
0.0294258,5.15931e-05,0.00139477
0.0294258,4.9721e-05,0.00134416
0.0294258,4.79168e-05,0.00129538
0.0294258,4.61781e-05,0.00124838
0.0294258,4.45024e-05,0.00120308
0.0294258,4.28876e-05,0.00115942
0.0294258,4.13314e-05,0.00111735
0.0294258,3.98316e-05,0.00107681
0.0294258,3.83863e-05,0.00103773
0.0294258,3.69934e-05,0.00100008
0.0294258,3.5651e-05,0.00096379
0.0294258,3.43574e-05,0.000928817
0.0294258,3.31107e-05,0.000895114
0.0294258,3.19092e-05,0.000862633
0.0294258,3.07513e-05,0.000831332
0.0294258,2.96355e-05,0.000801166
0.0294258,2.85601e-05,0.000772094
0.0294258,2.75238e-05,0.000744078
0.0294258,2.6525e-05,0.000717078
0.0294258,2.55625e-05,0.000691058
0.0294258,2.4635e-05,0.000665982
0.0294258,2.37411e-05,0.000641816
0.0294258,2.28796e-05,0.000618527
0.0294258,2.20494e-05,0.000596083
0.0294258,2.12493e-05,0.000574453
0.0294258,2.04782e-05,0.000553608
0.0294258,1.97351e-05,0.00053352
0.0294258,1.9019e-05,0.00051416
0.0294258,1.83289e-05,0.000495503
0.0294258,1.76638e-05,0.000477523
0.0294258,1.70228e-05,0.000460196
0.0294258,1.64052e-05,0.000443497
0.0294258,1.58099e-05,0.000427404
0.0294258,1.52362e-05,0.000411895
0.0294258,1.46833e-05,0.000396949
0.0294258,1.41505e-05,0.000382545
0.0294258,1.3637e-05,0.000368664
0.0294258,1.31422e-05,0.000355286
0.0294258,1.26653e-05,0.000342394
0.0294258,1.22057e-05,0.00032997
0.0294258,1.17628e-05,0.000317997
0.0294258,1.1336e-05,0.000306458
0.0294258,1.09247e-05,0.000295338
0.0294258,1.05283e-05,0.000284621
0.0294258,1.01462e-05,0.000274293
0.0294258,9.77805e-06,0.00026434
0.0294258,9.42324e-06,0.000254748
0.0294258,9.08131e-06,0.000245504
0.0294258,8.75178e-06,0.000236596
0.0294258,8.43421e-06,0.00022801
0.0294258,8.12816e-06,0.000219737
0.0294258,7.83322e-06,0.000211763
0.0294258,7.54898e-06,0.000204079
0.0294258,7.27506e-06,0.000196674
0.0294258,7.01107e-06,0.000189537
0.0294258,6.75667e-06,0.00018266
0.0294258,6.51149e-06,0.000176032
0.0294258,6.27521e-06,0.000169644
0.0294258,6.04751e-06,0.000163488
0.0294258,5.82807e-06,0.000157556
0.0294258,5.61659e-06,0.000151839
0.0294258,5.41278e-06,0.000146329
0.0294258,5.21637e-06,0.000141019
0.0294258,5.02709e-06,0.000135902
0.0294258,4.84468e-06,0.000130971
0.0294258,4.66888e-06,0.000126218
0.0294258,4.49946e-06,0.000121638
0.0294258,4.33619e-06,0.000117225
0.0294258,4.17885e-06,0.000112971
0.0294258,4.02721e-06,0.000108872
0.0294258,3.88108e-06,0.000104921
0.0294258,3.74025e-06,0.000101114
0.0294258,3.60453e-06,9.74449e-05
0.0294258,3.47374e-06,9.3909e-05
0.0294258,3.34769e-06,9.05013e-05
0.0294258,3.22621e-06,8.72174e-05
0.0294258,3.10914e-06,8.40526e-05
0.0294258,2.99632e-06,8.10026e-05
0.0294258,2.8876e-06,7.80633e-05
0.0294258,2.78282e-06,7.52307e-05
0.0294258,2.68184e-06,7.25009e-05
0.0294258,2.58453e-06,6.98701e-05
0.0294258,2.49074e-06,6.73347e-05
0.0294258,2.40036e-06,6.48914e-05
0.0294258,2.31326e-06,6.25367e-05
0.0294258,2.22932e-06,6.02675e-05
0.0294258,2.14843e-06,5.80806e-05
0.0294258,2.07047e-06,5.59731e-05
0.0294258,1.99534e-06,5.3942e-05
0.0294258,1.92294e-06,5.19847e-05
0.0294258,1.85316e-06,5.00983e-05
0.0294258,1.78592e-06,4.82804e-05
0.0294258,1.72111e-06,4.65285e-05
0.0294258,1.65866e-06,4.48402e-05
0.0294258,1.59847e-06,4.32131e-05
0.0294258,1.54047e-06,4.1645e-05
0.0294258,1.48457e-06,4.01339e-05
0.0294258,1.4307e-06,3.86776e-05
0.0294258,1.37879e-06,3.72741e-05
0.0294258,1.32876e-06,3.59216e-05
0.0294258,1.28054e-06,3.46181e-05
0.0294258,1.23407e-06,3.33619e-05
0.0294258,1.18929e-06,3.21514e-05
0.0294258,1.14614e-06,3.09847e-05
0.0294258,1.10455e-06,2.98604e-05
0.0294258,1.06447e-06,2.87769e-05
0.0294258,1.02584e-06,2.77327e-05
0.0294258,9.8862e-07,2.67263e-05
0.0294258,9.52746e-07,2.57565e-05
0.0294258,9.18175e-07,2.48219e-05
0.0294258,8.84857e-07,2.39212e-05
0.0294258,8.52749e-07,2.30532e-05
0.0294258,8.21806e-07,2.22167e-05
0.0294258,7.91986e-07,2.14105e-05
0.0294258,7.63247e-07,2.06336e-05
0.0294258,7.35552e-07,1.98849e-05
0.0294258,7.08861e-07,1.91634e-05
0.0294258,6.83139e-07,1.8468e-05
0.0294258,6.58351e-07,1.77979e-05
0.0294258,6.34462e-07,1.7152e-05
0.0294258,6.11439e-07,1.65296e-05
0.0294258,5.89252e-07,1.59298e-05
0.0294258,5.67871e-07,1.53518e-05
0.0294258,5.47265e-07,1.47948e-05
0.0294258,5.27406e-07,1.42579e-05
0.0294258,5.08269e-07,1.37405e-05
0.0294258,4.89826e-07,1.32419e-05
0.0294258,4.72052e-07,1.27614e-05
0.0294258,4.54923e-07,1.22984e-05
0.0294258,4.38415e-07,1.18521e-05
0.0294258,4.22507e-07,1.1422e-05
0.0294258,4.07175e-07,1.10076e-05
0.0294258,3.924e-07,1.06082e-05
0.0294258,3.14353e-07,8.49822e-06
0.0294258,3.02946e-07,8.18985e-06
0.0294258,2.91953e-07,7.89267e-06
0.0294258,2.8136e-07,7.60627e-06
0.0294258,2.7115e-07,7.33027e-06
0.0294258,2.61311e-07,7.06428e-06
0.0294258,2.42691e-07,6.56091e-06
