m_phi_low,m_phi_high,m_H5,sin_theta_H,N_phi_GM
0.0297890532,0.0445593107,0.0370004168,0.2024598001,0.0032184922
0.0297890532,0.0445593107,0.0431607005,0.0449500372,0.0001574404
0.0297890532,0.0445593107,0.0411913659,0.2854571215,0.0063722419
0.0297890532,0.0445593107,0.0318858354,0.0301541353,0.0000715563
0.0297890532,0.0445593107,0.0361287515,0.0117282327,0.0000107411
0.0297890532,0.0445593107,0.0381682621,0.3411592062,0.0091300629
0.0297890532,0.0445593107,0.0416185392,0.0490342490,0.0001876902
0.0297890532,0.0445593107,0.0387397497,0.0337516543,0.0000891246
0.0297890532,0.0445593107,0.0340290686,0.0076117708,0.0000045162
0.0297890532,0.0445593107,0.0397958478,0.0181946666,0.0000258211
0.0297890532,0.0445593107,0.0368926557,0.0091614794,0.0000065372
0.0297890532,0.0445593107,0.0354647456,0.0772505536,0.0004689439
0.0297890532,0.0445593107,0.0323872529,0.4349861080,0.0149207517
0.0297890532,0.0445593107,0.0351680145,0.2136492925,0.0035901923
0.0297890532,0.0445593107,0.0420910414,0.3745372414,0.0109601338
0.0297890532,0.0445593107,0.0322266469,0.0252043943,0.0000499531
0.0297890532,0.0445593107,0.0376889988,0.0135319968,0.0000142910
0.0297890532,0.0445593107,0.0428689786,0.1854465167,0.0026841181
0.0297890532,0.0445593107,0.0340212727,0.1365668974,0.0014680942
0.0297890532,0.0445593107,0.0331635175,0.0143299318,0.0000160964
0.0297890532,0.0445593107,0.0314227863,0.0416353117,0.0001365694
0.0297890532,0.0445593107,0.0416089842,0.0792015504,0.0004899787
0.0297890532,0.0445593107,0.0335350759,0.0088037247,0.0000060524
0.0297890532,0.0445593107,0.0405375437,0.0567151933,0.0002514353
0.0297890532,0.0445593107,0.0413122397,0.0262543770,0.0000537509
0.0297890532,0.0445593107,0.0334047111,0.2224389108,0.0038977206
0.0297890532,0.0445593107,0.0331290125,0.0128742897,0.0000129846
