m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0025477,5.18011e-11,9.77367e-12,1.63824e-08,0.446417,0.994467,0.63394,4.18879e+18,2.19394e+06,8.17729e+54
0.109906,1.66295e-11,4.66598e-13,9.28215e-09,0.446417,0.147889,0.937463,4.18879e+18,1.54937e+07,5.77299e+53
0.00296922,2.87456e-12,5.41475e-13,3.85918e-09,0.446417,0.992836,0.975059,4.18879e+18,3.95933e+07,6.96808e+53
0.0123602,2.95811e-12,5.1975e-13,3.91486e-09,0.446417,0.926088,0.975758,4.18879e+18,4.07493e+07,6.69331e+53
0.00126102,3.45058e-12,6.53398e-13,4.2282e-09,0.446417,0.998062,0.97,4.18879e+18,3.28305e+07,8.36476e+53
0.115987,3.47105e-11,8.4313e-13,1.34104e-08,0.446417,0.128028,0.877623,4.18879e+18,7.6653e+06,9.76576e+53
0.0616247,6.45262e-11,5.18867e-12,1.82843e-08,0.446417,0.423829,0.707696,4.18879e+18,2.89279e+06,4.84625e+54
0.00290816,4.56573e-10,8.60251e-11,4.86368e-08,0.446417,0.993084,0.0180885,4.18879e+18,249223,2.05367e+54
0.00698279,1.81235e-10,3.33559e-11,3.06429e-08,0.446417,0.97007,0.20992,4.18879e+18,640605,9.24125e+54
0.00895523,9.80991e-12,1.77807e-12,7.12922e-09,0.446417,0.955334,0.919953,4.18879e+18,1.19857e+07,2.15883e+54
0.0242584,1.53862e-10,2.34454e-11,2.82342e-08,0.446417,0.803152,0.316271,4.18879e+18,868711,9.78638e+54
0.0842784,1.16399e-11,5.84424e-13,7.76576e-09,0.446417,0.264637,0.948587,4.18879e+18,1.8952e+07,7.31659e+53
0.00762562,3.88682e-10,7.11976e-11,4.48752e-08,0.446417,0.965478,0.0356284,4.18879e+18,299885,3.34784e+54
0.0360858,1.0452e-09,1.33354e-10,7.35885e-08,0.446417,0.672472,0.000910282,4.18879e+18,142828,1.60208e+53
0.121018,1.07501e-10,2.31393e-12,2.36003e-08,0.446417,0.113451,0.67421,4.18879e+18,2.53841e+06,2.05897e+54
0.0170343,3.16719e-11,5.29079e-12,1.28099e-08,0.446417,0.880478,0.776591,4.18879e+18,3.95509e+06,5.42272e+54
0.0245347,9.95991e-10,1.51193e-10,7.18352e-08,0.446417,0.800108,0.000591581,4.18879e+18,134543,1.18046e+53
0.0180162,9.98421e-13,1.64865e-13,2.2744e-09,0.446417,0.870334,0.992128,4.18879e+18,1.26537e+08,2.15874e+53
0.00576785,1.53817e-12,2.85447e-13,2.82301e-09,0.446417,0.97812,0.986747,4.18879e+18,7.49546e+07,3.71736e+53
