m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.00734039,2.77024e-11,5.08529e-12,1.19803e-08,0.446417,0.967542,0.80822,4.18879e+18,4.67387e+10,4.69669e+06,5.42436e+54
0.00544741,6.66925e-12,1.24015e-12,5.87825e-09,0.446417,0.980094,0.950032,4.18879e+18,9.52569e+10,1.95089e+07,1.55495e+54
0.0232416,3.35564e-10,5.18441e-11,4.16963e-08,0.446417,0.81432,0.0758266,4.18879e+18,1.34291e+10,387733,5.1883e+54
0.0735054,2.80459e-10,1.77205e-11,3.81192e-08,0.446417,0.333026,0.115771,4.18879e+18,1.46893e+10,463916,2.70757e+54
0.00863291,2.37865e-12,4.32281e-13,3.51055e-09,0.446417,0.957868,0.981884,4.18879e+18,1.59503e+11,5.46987e+07,5.60183e+53
0.0703602,8.75817e-11,5.90646e-12,2.13018e-08,0.446417,0.355455,0.510017,4.18879e+18,2.62862e+10,1.48558e+06,3.97572e+54
0.00569361,1.18742e-12,2.20461e-13,2.48035e-09,0.446417,0.978583,0.990915,4.18879e+18,2.25752e+11,1.09573e+08,2.88318e+53
0.0501668,6.52414e-10,6.52401e-11,5.81395e-08,0.446417,0.527063,0.00663598,4.18879e+18,9.63105e+09,199428,5.71377e+53
0.023539,1.1454e-10,1.76254e-11,2.43606e-08,0.446417,0.81106,0.414613,4.18879e+18,2.29857e+10,1.13593e+06,9.64463e+54
0.0179317,5.38225e-10,8.89646e-11,5.2807e-08,0.446417,0.871213,0.0159711,4.18879e+18,1.06036e+10,241738,1.87523e+54
0.0889194,6.82577e-12,3.09498e-13,5.94683e-09,0.446417,0.238989,0.948874,4.18879e+18,9.41585e+10,1.90615e+07,3.87588e+53
0.00563603,2.19259e-10,4.07233e-11,3.37045e-08,0.446417,0.97894,0.185403,4.18879e+18,1.66133e+10,593404,9.96467e+54
0.00455657,2.31234e-10,4.32228e-11,3.46127e-08,0.446417,0.985219,0.169102,4.18879e+18,1.61774e+10,562674,9.64639e+54
0.0151014,1.827e-10,3.11947e-11,3.07666e-08,0.446417,0.899939,0.245544,4.18879e+18,1.81998e+10,712147,1.01091e+55
